school_name,address,postal_code,planning_area,town,latitude,longitude
"Rivervale Primary School","80 Rivervale Drive,","545092","SENGKANG","SENGKANG","",""
"Rosyth School","21 Serangoon North Avenue 4,","555855","SERANGOON","SERANGOON","",""
"Rulang Primary School","6 Jurong West Street 52,","649295","JURONG WEST","JURONG WEST","",""
"Sembawang Primary School","10 Sembawang Drive,","757715","SEMBAWANG","SEMBAWANG","",""
"Seng Kang Primary School","21 Compassvale Walk,","545166","SENGKANG","SENGKANG","",""
"Sengkang Green Primary School","15 Fernvale Road,","797636","SENGKANG","SENGKANG","",""
"Shuqun Primary School","8 Jurong West Street 51,","649332","JURONG WEST","JURONG WEST","",""
"Si Ling Primary School","61 Woodlands Avenue 1,","739067","WOODLANDS","WOODLANDS","",""
"Singapore Chinese Girls' Primary School","190 Dunearn Road,","309437","CENTRAL AREA","CENTRAL AREA","",""
"South View Primary School","6 Choa Chu Kang Central,","689762","CHOA CHU KANG","CHOA CHU KANG","",""
"Springdale Primary School","71 Anchorvale Link,","544799","SENGKANG","SENGKANG","",""
"St Andrew's School (Junior)","2 Francis Thomas Drive,","359337","TOA PAYOH","TOA PAYOH","",""
"St. Anthony's Canossian Primary School","1602 Bedok North Ave 4,","469701","BEDOK","BEDOK","",""
"St. Anthony's Primary School","30 Bukit Batok St 32,","659401","BUKIT BATOK","BUKIT BATOK","",""
"St. Gabriel's Primary School","220 Lorong Chuan,","556742","SERANGOON","SERANGOON","",""
"St. Hilda's Primary School","2 Tampines Ave 3,","529706","TAMPINES","TAMPINES","",""
"St. Joseph's Institution Junior","3 Essex Road,","309331","CENTRAL AREA","CENTRAL AREA","",""
"St. Margaret's School (Primary)","136 Sophia Road,","228197","CENTRAL AREA","CENTRAL AREA","",""
"St. Stephen's School","20 Siglap View,","455789","BEDOK","BEDOK","",""
"Tampines North Primary School","30 Tampines Avenue 9,","529565","TAMPINES","TAMPINES","",""
"Tampines Primary School","250 Tampines Street 12,","529426","TAMPINES","TAMPINES","",""
"Tanjong Katong Primary School","10 Seraya Road,","437259","MARINE PARADE","MARINE PARADE","",""
"Tao Nan School","49 Marine Crescent,","449761","MARINE PARADE","MARINE PARADE","",""
"Teck Ghee Primary School","1 Ang Mo Kio Street 32,","569299","ANG MO KIO","ANG MO KIO","",""
"Teck Whye Primary School","11 Teck Whye Walk,","688261","CHOA CHU KANG","CHOA CHU KANG","",""
"Telok Kurau Primary School","50 Bedok Reservoir Rd,","479239","BEDOK","BEDOK","",""
"Temasek Primary School","501 Bedok South Ave 3,","469300","BEDOK","BEDOK","",""
"Townsville Primary School","3 Ang Mo Kio Ave 10,","569730","ANG MO KIO","ANG MO KIO","",""
"Unity Primary School","21 Choa Chu Kang Crescent,","688268","CHOA CHU KANG","CHOA CHU KANG","",""
"Valour Primary School","49 Punggol Central,","828728","PUNGGOL","PUNGGOL","",""
"Waterway Primary School","70 Punggol Drive,","828802","PUNGGOL","PUNGGOL","",""
"Wellington Primary School","10 Wellington Circle,","757702","SEMBAWANG","SEMBAWANG","",""
"West Grove Primary School","1 Jurong West St 72,","649223","JURONG WEST","JURONG WEST","",""
"West Spring Primary School","60 Bukit Panjang Ring Road,","679946","BUKIT PANJANG","BUKIT PANJANG","",""
"West View Primary School","31 Senja Road,","677742","BUKIT PANJANG","BUKIT PANJANG","",""
"Westwood Primary School","1 Jurong West Street 73,","649188","JURONG WEST","JURONG WEST","",""
"White Sands Primary School","2 Pasir Ris St 11,","519075","PASIR RIS","PASIR RIS","",""
"Woodgrove Primary School","2 Woodlands Drive 14,","738079","WOODLANDS","WOODLANDS","",""
"Woodlands Primary School","10 Woodlands Drive 50,","738853","WOODLANDS","WOODLANDS","",""
"Woodlands Ring Primary School","11 Woodlands Ring Road,","738240","WOODLANDS","WOODLANDS","",""
"Xinghua Primary School","45 Hougang Avenue 1,","538882","HOUGANG","HOUGANG","",""
"Xingnan Primary School","5 Jurong West Street 91,","649036","JURONG WEST","JURONG WEST","",""
"Xinmin Primary School","9 Hougang Avenue 8,","538784","HOUGANG","HOUGANG","",""
"Xishan Primary School","8 Yishun Street 21,","768611","YISHUN","YISHUN","",""
"Yangzheng Primary School","15 Serangoon Avenue 3,","556108","SERANGOON","SERANGOON","",""
"Yew Tee Primary School","10 Choa Chu Kang St 64,","689100","CHOA CHU KANG","CHOA CHU KANG","",""
"Yio Chu Kang Primary School","1 Hougang Street 51,","538720","HOUGANG","HOUGANG","",""
"Yishun Primary School","500 Yishun Ring Road,","768679","YISHUN","YISHUN","",""
"Yu Neng Primary School","56 Bedok North St 3,","469623","BEDOK","BEDOK","",""
"Yuhua Primary School","158 Jurong East Street 24,","609558","JURONG EAST","JURONG EAST","",""
"Yumin Primary School","3 Tampines Street 21,","529393","TAMPINES","TAMPINES","",""
"Zhangde Primary School","51 Jalan Membina,","169485","BUKIT MERAH","BUKIT MERAH","",""
"Zhenghua Primary School","9 Fajar Road,","679002","BUKIT PANJANG","BUKIT PANJANG","",""
"Zhonghua Primary School","12 Serangoon Avenue 4,","556095","SERANGOON","SERANGOON","",""
